,Recipe ID,Ingredients
10,AME_11,"['335 Gram Softened butter', '235 gram Breakfast sugar', '112 gram Cashew nut powder', '56 gram Almond powder', '2  Whole eggs', '40 gram Flour', '7 gram Cinnamon powder', '7 gram Baking powder', 'A pinch of Salt', '1 jar  Raspberry jam', 'To dust  Icing sugar']"
11,AME_12,"['200 gms dark chocolate (best quality, 70% cocoa solids))', '150 gms plain flour', '1 tsp baking powder', 'A pinch of salt', '120 gms soft butter, unsalted', '200 gms vanilla sugar', '2  Eggs', '1  Egg yolk', '4 tbsp coffee (freshly made, strong)', 'For buttercream:', '140 gms softened butter', '280 gms icing sugar', 'Edible green colour (few drops)']"
12,AME_13,"['800 Gram Minced Lamb', '60 gram Leeks, chopped', '150 gram Carrot (diced)', '75 gram Onion, chopped', 'Few sprigs  Rosemary', '2 tsp Tomato paste', '2 nos Bay leaf', '2 nos Garlic cloves', '50 gram Butter (for pie)', '2 sheets  Puff Pastry', '3 tbsp Plain flour', '3 tbsp Olive oil', 'to taste Salt', 'to taste Pepper']"
13,AME_14,"['For Breadstick DoughL', '1 cup Warm Water', '3 tbsp Brown Sugar', '1 tbsp Salt', '1/4 cup Oil', '3 cups Bread flour', '2 1/2 tbsp Yeast', 'For rolls:', '11 Ounce  Breadstick dough (refrigerated)', '8  Hot Dogs', 'Mustard', 'Poppy Seed']"
14,AME_15,"['For Onion Jam:', '500 gram Chicken Sausages', '500 gram Onion, sliced', '20 gram Green Chillies, chopped', '30 ml White Wine Vinegar', 'Oil', 'For Puff Pastry:', '1000 gram Flour', '20 gram Salt', '200 gram Butter', '50 gram Vinegar', '250 gram Milk', '200 ml Water']"
15,AME_16,"['2 pieces of chicken supreme', '4 Tbsp buttermilk', '1 tsp salt', 'Tartar Sauce:', '4 Tbsp mayonnaise', '1 tsp gherkins', '1 tsp green olives', '1 tsp shallots', '1/2 tsp parsley, to garnish', 'Batter:', '3 Tbsp corn flour', '1 Tbsp refined flour', '1/2 tsp salt', '1/2 tsp Baking Powder', '5 Tbsp Beer']"
16,AME_17,"['1 Cup all-purpose flour', '2 1/2 tsp baking powder', '1/2 tsp salt', '3/4 tbsp white sugar', '3/4 cups milk', '1 small egg', '2 tbsp butter, melted', 'Toppings:', 'Melted butter', 'Maple syrup or honey', 'Mixed berries (or any other mixed fruit of your choice)', 'Sugar, powdered']"
17,AME_18,"['140 gm brown sugar', '140 ml oil refined', '500 gm quark cheese', '250 gm icing sugar', '60 gm white butter', '250 gm carrot', '150 gm walnut', '170 gm pineapple', '3 eggs', '11 gm cinnamon powder', '12 gm nutmeg', '10 gm baking powder', '10 gm baking soda', 'Salt to taste', '230 gm mascarpone cheese']"
18,AME_19,"['Chicken', '1/2 pound chicken breast, skinless', '5 ml honey', '5 ml lemon', 'A pinch of thyme', 'Salt to taste', 'A pinch of black pepper', 'Sauce', '10 ml red wine', '30 ml brown sauce', 'A pinch of rosemary', '4 potatoes, boiled and thinly sliced']"
19,AME_20,"['60 ml Jim Beam', '6-8 mint leaves', '3 lemon wedges', '100 gm crushed ice', 'Sugar to taste']"
20,AME_21,"['1/2 cup maida', '1 egg', '1/4 cup milk', 'Water as required', '1/4 tsp salt', '1 tsp oil', '2 Tbsp oil for cooking the pancakes']"
21,AME_22,"['200 gms flour', '100 gms diced chilled butter', '2 egg yolks', '2-3 Tbsp chilled water', 'For the filling:', '1 Tbsp butter', '2 diced onions', '1 large apple - peeled, cored and diced, grated rind', '1 lime', '1 Tbsp quick cooking oats', '1 tsp dried basil', '1 Tbsp fresh herbs', '2 Tbsp chopped gherkins', '400 gm sausage meat', '1 egg beaten', '1 tsp of milk to glaze']"
22,AME_23,"['2 Tbsp ginger-garlic paste', '3 tsp red chili powder', '1 1/2 tsp turmeric powder', '2 tsp coriander powder', 'Handful of curry leaves', '5 tbsp refined oil', 'to taste Salt', '100 gms chicken breast', '200 gms fish fillet', '200 gms rice flour (to coat)', '2 tbsp mayonnaise', '3 tsp tomato ketchup', '1/2 tsp tabasco', '3  Burger buns', '1  Onion', '3  Tomatoes']"
23,AME_24,"['For the base:', '18  Butter biscuits (broken into pieces)', '75 gram Butter (softened)', 'For the cheesecake:', '226 gram Cream cheese (softened)', '5 tbsp Sugar, powdered', '1  Egg', '2 drops  Rose essence or Vanilla essence', '5 tbsp Chocolate chips']"
24,AME_25,"['Dry ingredients:', '1 cup Maida/ flour', '1 tsp Baking powder', '3/4 cup Sugar, powdered', '1 1/2 tbsp Cocoa powder', 'Wet ingredients:', '1/2 tsp Vanilla essence', '5 tbsp Butter (softened, salted. In case you are using unsalted butter, add 1/4 tsp salt)', ""3/4 cup Milk (to make the batter smooth. Adjust the milk quantity according to your batter's smoothness)"", '1 tbsp Coffee powder + 1 tsp water, to make a paste (You can increase or decrease according to your coffee tolerance)']"
25,AME_26,"['1 Kg chicken', '4 tsp white vinegar', '1  Potato (cubed)', '1  onion, chopped', '1 tsp garlic, chopped', '1 tsp ginger, chopped', '2  green chilies, chopped', '4  Green cardamoms', '4-5  Cloves', '1 inch  cinnamon', '2 cups coconut milk', '8-10  Curry leaves', '4 tsp oil', 'to taste salt']"
26,AME_27,"['4 Tbsp Olive oil', '1/2  Leek', '1/3 cup Celery, chopped', '1/2  Onion, chopped', '1 cup Corn kernels (frozen)', 'Few sprigs  Thyme', 'Few  Coriander leaves', '2 large Potatoes (peeled), roasted', '5-6 pieces Jalapenos (pickled)', '1 tsp Garlic chives, chopped', '75 gram Feta cheese', '1 tbsp Corn flour', '2 tbsp Milk', '1 cup Bread crumbs', '4-5 tbsp Oil (for frying)', '1  Tomato', '1  Lettuce leaf', 'Few  Gherkins', '3-4  Tomatoes']"
27,AME_28,"['1 chicken - cut into 6 pieces', '2 eggs', '1 Tbsp garlic paste', '1/4 cup refined flour', 'Dash of black pepper', '1 Tbsp salt or to taste', 'Powdered bread crumbs to coat the chicken', 'Oil for deep-frying']"
28,AME_29,"['For apple pie filling:', '100 gm butter', '4 medium apple', '1/3 tsp cinnamon', '15 -20 gm sugar', 'For pie cover:', '100 gm flour', '100 gm icing sugar', '100 gm butter', '50 ml water', 'For raisin chutney:', '1 Tbsp whole mix spices', '100 gm raisin', '30 gm sugar', '20 ml lemon Juice', '20 ml orange Juice']"
29,AME_30,"['1 cup refined oil', '1 egg', '2 tbsp vinegar', '1/2 tsp sugar', 'Salt - to taste', '1/4 tsp black pepper powder', '1/4 tsp mustard powder or mustard oil', 'For Submarine Sandwich:', '1 French loaf (12 inches)', '3-4 tbsp mayonnaise or olive oil', '4 salami slices', '4 ham slices', '2 cheese slices', '4 thinly sliced onions', 'Dried oregano - to taste', 'Mustard sauce - to taste', 'Lettuce leaves (optional)']"
30,AME_31,"['250 gm minced mutton', '4 Tbsp onions - finely chopped', '1/2 tsp ginger-garlic paste', '1/2 tsp black pepper powder', 'Salt - to taste  oil', '3-4 Tbsp butter', '3-4 burger buns', '4 tomato slices', '4 onion slices', 'Coleslaw (optional)', 'Mayonnaise (optional)', 'For French Fries:', '3-4 large potatoes', 'Salt - to taste', 'Pepper (optional)', 'Oil - for deep frying']"
31,AME_32,"['25 oreo cookies', '4 Tbsp melted butter', '4 packets cream cheese', '4 Tbsp corn flour', '1 cup sugar', '4 eggs', '2 tsp vanilla essence', '2 bars melted chocolate (240 gm)', '1/2 cup cream', '1/3 cup liquor of choice (optional)']"
32,AME_33,"['1 cup cheese - grated', '1 tsp salt', 'chilli powder - to taste', '1 tbsp coriander leaves', 'green chillies - chopped (to taste)', '1 tsp baking powder', 'milk - as required', '6 bread slices', 'oil - for deep frying']"
33,AME_34,"['200 Gram Strawberries', '2 tbsp Sugar', '400 ml Milk', '5-6 tbsp Strawberry Ice-Cream']"
34,CHI_01,"['5  Strawberry', '5  Grapes', '5  Orange segments', '3/4 cup White sugar', '1/3 cup Water', '2 tbsp Light corn syrup', '5  12-inch Wooden skewers']"
35,CHI_02,"['For Paratha:', '1 cup Maida', '1 cup whole wheat Flour', '1/2 cup Curd', '1 tbsp Oil', 'For Frankie Masala', '2 tbsp Red chilli powder', '2 tbsp Coriander Powder', '1 tbsp Garam masala', '1/2 tbsp Turmeric', '1 tbsp Black Salt', 'For chilli paneer', '250 gram Paneer', '1/2 cup Capsicum, chopped', '1 cup Onion, chopped', '1/2 cups Spring Onion', '1 tbsp Soy Sauce', '1 tbsp Red Chilli Sauce', '1/2 tbsp Green Chilli Sauce', '1 tbsp Garlic, finely chopped', '1/2 tbsp Ginger, finely chopped', '2 tsp Green Chillies, finely chopped', '1 cup Onion, finely chopped', 'to taste Salt', '1/2 tsp Black pepper', 'As Required  Oil for frying', '1 cup Cornflour', '1/2 cup Maida', '1/2 tsp Ginger garlic paste']"
36,CHI_03,"['2 cups  Wheat flour', '1 tsp  Salt', '3  Eggs']"
37,CHI_04,"['500 gms Boneless chicken (cubed)', '1/2 cup Mango Pulp', '1/2 cup Bell Pepper (Cubed)', '1/2 cup Onion (Cubed)', '1/4 cup Zucchini (Chopped)', '1/2 cup Broccoli (Chopped)', '1/4 cup Carrot Chopped', '2  Green Chillies (Slit)', 'to taste Salt', 'to taste Black Pepper', '1 cup All Purpose Flour', '1/2 cup Cornflour', '1 tbsp Ginger-Garlic Paste', '1/2 tbsp Chopped Garlic', '1 tsp Corn starch', '2 tbsp Soya Sauce', '1 tbsp Green Chilli Sauce', 'to taste Red Chilli Sauce', 'to taste Vinegar', '1 tbsp Tomato ketchup']"
38,CHI_05,"['200 gms Noodles', '300-400 gram Mushrooms', '1/2 tbsp Chopped Garlic', '1/2 tsp Chopped ginger', '1 tsp Chopped green chilies', '1/2 tsp Black pepper or white pepper', '1/2 cup Chopped spring onions', '1 to 2 tsp Finely chopped celery (optional)', '2 to 2.5 tbsp Oil', '1 tbsp Soya Sauce', '1 tsp Rice vinegar or regular vinegar', 'Spring onion greens for garnish', 'salt as required']"
39,CHI_06,"['5-6  Soya Chaap', '1 tbsp Ginger-garlic paste', '1  Dry red chilli', '1 medium Chopped onion', '1 small Chopped Capsicum', '1 tsp Soya Sauce', '1 tsp Red chilli sauce', '1 tsp Schezwan sauce', '1 and a half tsp Vinegar']"
40,CHI_07,"['2 and a half Cup Dosa Batter', '3/4 cup Noodles (Boiled)', '1/4 cup Cabbage (Julienned)', '1/4 cup Carrot (Julienned)', '1/4 cup Capsicum (Julienned)', '3 tbsp French Beans (Cut Diagonally)', '1/2 tsp Ginger (Finely Chopped)', '1 tsp Garlic (Finely Chopped)', '2  Green Chillies (Cut Diagonally)', '3 tbsp Spring Onion Greens (Cut Lengthwise)', '1 tsp Soy sauce', '3/4 cup Schezwan Sauce', '1 cup Rice Vinegar', '2 tsp Tomato Ketchup', '1/2 tsp Black Pepper Powder', 'Salt to taste', '3 tsp Vegetable (Plus for cooking dosa)']"
41,CHI_08,"['1/2 Cup Boiled Rice', '8-10  Paneer Cubes', '1 tbsp Ginger garlic paste', '1/2 tsp Red chilli powder', '1/2 tsp Pepper', '1 tsp Soya Sauce', 'Salt as per taste', '1  Chopped Onion', '1  Chopped Carrot', '1/2  Chopped Capsicum', '1/4 cup Chopped Mushroom']"
42,CHI_09,"['1 Cup Semolina', '2 tbsp Curd', '1 tsp Chopped Ginger', '1 tsp Chopped Garlic', '2-3  Chopped Green Chillies', '1/2 cup Cabbage (Finely Chopped)', '1/2 cup Carrot (Finely Chopped)', '1 and a half cup Capsicum (Cut into large pieces)', '2  Onion (Diced)', '1  Capsicum (Chopped)', '1 tbsp Chili Sauce (Optional)', '1 tbsp Tomato Ketchup', '1 tsp Mixed herbs', '2 tsp Soya Sauce']"
43,CHI_10,"['1  Cabbage (Thinly Sliced)', '1  Capsicum', '1  Onion', '1  Carrot', '1  Green Chillies (Chopped)', 'to taste Black Pepper', '2 tbsp Oil', '5 nos Roti']"
44,CHI_11,"['2 tsp Honey', '1 tbsp Red chilli flakes', '250 gram Paneer', '4 tbsp Oil', '2  Onions', '2  Green capsicums', 'Salt to taste', '5-6  Garlic cloves, chopped', '1 tsp Ginger paste', 'Cornflour/ corn starch mixed with 4 tbsps water 3 tablespoons', '2 tsp Vinegar']"
45,CHI_12,"['For batter:', '4 tbsp Flour', '4 tbsp Cornstarch', '1/2 tsp Salt', '4 tbsp Water', '20  Babycorn', 'Oil for frying', 'For Sauce:', '1 tbsp Oil', '1/2 cup Spring Onion', '2 tsp Finely chopped garlic', '2 tsp Finely chopped ginger', '2 to 3 green chilies – slit or sliced', '1/3 cup Thinly sliced or finely chopped capsicum', '1/3 cup Soya Sauce', '1 tsp Green chilli sauce', '1/4 tsp Pepper', '1 tsp Sugar', 'Salt as required']"
46,CHI_13,"['For Batter', '1/2 cup All Purpose Flour', '3 tbsp Cornflour', '1 tsp Ginger-garlic paste', '1/2 tsp Black Pepper', '1 tsp Soya Sauce', '1/2 cup Water', 'Mushroom Manchurian', '250 gms Button mushrooms', '4 small Spring onions, finely chopped', '3  Green Chillies, finely chopped', '2 tsp finely chopped garlic', '2 tsp finely chopped ginger', '1/2 tsp Black pepper powder', '1 tbsp soy sauce', '1 medium capsicum, sliced']"
47,CHI_14,"['7-8  Momos', 'For Manchurian', '2 tbsp Soya sauce', '2 tbsp Vinegar', '1/2 tbsp Black pepper powder', 'Salt to taste', '1 tsp Green chilli sauce', '1 tsp Schezwan sauce', '1/2 tsp Brown Sugar', '2 tbsp chopped cilantro', '2 tbsp Chopped spring onion', '2 tbsp Chopped onion', '2 tbsp Chopped capsicum', '2 tbsp Chopped bell peppers', '2 tbsp Chopped carrot', '1 tsp Garlic-ginger paste']"
48,CHI_15,"['6 Pieces Idlis (cut in quarters)', '2 tbsp Oil', '1/2 cup Chopped onion', '1 and 1/2 tbsp Finely chopped Garlic', '1 and 1/2 tbsp Finely chopped Ginger', '2  Green Chillies', '1/2 cup Chopped bell pepper', '2 tbsp Tomato ketchup', '2 tbsp Red chilli sauce', '1 tbsp Soya Sauce', '1 tbsp Vinegar', '1 tbsp Sugar', '1/2 tsp Red chilli powder']"
49,CHI_16,"['For batter', '4 tbsp Maida', '1 tbsp Cornflour', '1/2 tbsp Ginger garlic paste', 'to taste Salt', 'to taste Black Pepper', '5  Eggs', 'For Manchurian', '1/2 cup Sliced bell pepper', '2 tbsp Chopped onion', '1/2 tbsp Ginger garlic paste', '1/2 tsp Chopped green chillies', '1 tbsp Soya sauce', '1 tbsp Vinegar', '1 tbsp Chilli sauce/ schezwan', 'To garnish  Coriander Leaves', '1 tsp Tomato ketchup', 'to taste Salt and pepper']"
50,CHI_17,"['2  Boiled Basmati rice', '1/2 tsp oil', '2 tsp Sesame Oil', '4 cloves   Garlic (chopped)', '4  pieces Green Onion (chopped)', '1/2 cup French Beans (finely chopped)', '1/2 cup Carrot ( chopped)', '1/2 cup Capsicum (chopped)', '1/2 tsp Black Pepper', '1 tsp Soya sauce', '1 tsp Vinegar', '1/2 Cup Mushroom, chopped']"
51,CHI_18,"['2 Cups All Purpose Flour', '1 tbsp Cornstarch', '3/4  tsp Instant Yeast', '1 tsp Sugar', '2/3 cup Warm water', '1 tbsp Vegetable Oil', '250 gram Pork', '1 tsp Soya Sauce', 'to taste Salt', '1/4 tsp White Pepper', '4 medium Green Onions (Sliced)', '1 tbsp Sesame Oil']"
52,CHI_19,"['100 gms mixed vegetables, chopped', '100 gms eggplant', '30 gms cottage cheese', '10 gms cornflour', '60 ml oil', '5 gms ginger, chopped', '5 gms celery, chopped', '5 gms onion', '5 gms garlic', '5 gms red chilli', '6 gms tomato', '5 gms oyster sauce', '5 ml rice wine', '5 ml vinegar', '5 gms salt', '5 gms castor sugar', '5 gms white pepper', '5 ml sesame oil', '10 gms corn flour', '3 gms sichuan pepper', '150 ml stock water']"
53,CHI_20,"['250 gms chicken mince', '1 tbsp garlic, chopped', '3 tbsp carrots, finely chopped', '3 tbsp spring onion, finely chopped', '1 tbsp ginger, finely chopped', '1 tbsp soya sauce', '1 tbsp oyster sauce', '1 tsp sesame oil', '1 tsp pepper powder', '1  egg', '1/2 cup almonds (blanched), chopped', 'oil (for greasing)']"
54,CHI_21,"['200 gms boneless skinless chicken thigh (trimmed)', 'to taste salt and pepper', '100 gms yogurt', '5 gms chilli powder', '25 gms ginger garlic paste', '5 gram coriander leaves', 'oil to fry', '50 gms peri peri sauce', '100 gms potato fries']"
55,CHI_22,"['Noodles', '1 tsp Salt', '1 tsp Oil', '1 tsp Garlic paste', '1 tsp Ginger paste', '1/2 cup Beans', '1/2 cup Cabbage, chopped', '1/2 cup Carrot, chopped', '1/2 cup Spring onion, chopped', '1/2 cup Capsicum, chopped', '2 tbsp Soy sauce', '2 tbsp Green chilli sauce', '1 tbsp Tomato sauce']"
56,CHI_23,"['2 Tbsp oil', '2 tsp ginger-garlic paste', '1/2 cup spring onion, chopped', '1/2 cup carrot, chopped', '1/2 cup cabbage, chopped', '1  capsicum, chopped', '1 tsp salt', '1 tbsp soy sauce', '1 tbsp vinegar', '1 cup rice']"
57,CHI_24,"['For Frying Potatoes:', '2 nos Potatoes, sliced', '5 tbsp Corn flour', '1 1/2  tbsp Salt', '2 tsp Chilli Powder', 'For Honey Chilli Sauce:', '1 1/2 tsp Garlic', '1 tsp Ginger', '2 nos Whole Red Chillies , chopped', '1 tsp Chilli Flakes', '2 tsp Tomato Sauce', '2 tsp Chilli Sauce', '1 tsp Vinegar', '2 tbsp Honey', '1 tsp Salt', '4 tsp Sesame Seeds , roasted', '2 Bulbs  Spring Onions']"
58,CHI_25,"['450 Gram Chicken Thigh/Breast (cut crosswise into 1/2-inch-thin strips)', '1 tsp Sesame Oil (toasted)', '1/4 tsp White Pepper (finely ground)', '1 tsp Ginger Juice', '2 tbsp Peanut Oil or Vegetable oil (divided)', '5-6  Garlic cloves (minced)', '1 tbsp Ginger, grated', '1 tsp Red Chilli Flakes', '1/2 cup Red Onion , chopped', 'A handful  Snow Peas (trimmed)', '1/2  Red Bell Pepper (cut into thin strips)', 'For the sauce:', '1 tbsp Rice Vinegar', '2 tbsp Soy Sauce', '2 tsp Dark Soy Sauce', '2 tsp Chinese Rice Wine', '1/2 tbsp Brown Sugar', '1 tsp Cornflour']"
59,CHI_26,"['1 tsp chilli bean paste', '300 gms diced silken tofu', '1/2 tsp sichuan oil', '2 Tbsp cooking oil', '1 tsp spicy black bean', '100 ml water', '1/2 tsp dark soy', '1/2 tsp red chili powder', '1/2 tsp sugar', '1 tsp spring onions, chopped', '2 Tbsp leeks sliced', '2 Tbsp water', '1 tsp ginger, chopped', '1 tsp garlic, chopped']"
60,CHI_27,"['1/8th cup onion', '1/4th cup red capsicum', '1/4th cup green capsicum', '1/4th cup yellow capsicum', '1/4th cup baby corn', '2/3rd cup button mushroom', '1/2 cup black mushroom', '1/4 cup coral mushroom', '01 tsp red chilli whole', '01 tsp garlic', '1/2 tsp sugar', '01 tsp light soya sauce', '01 mushroom sauce', '01 tsp black soya sauce', '1/2 tsp white pepper (optional)', '1/4 cup spring onion', '1 Tbsp oil', '1/8 cup cashew nuts']"
61,CHI_28,"['Fennel seeds', 'Cloves', 'Star anise', 'Cinnamon', 'Szechuan pepper']"
62,CHI_29,"['4 Cups Water', '1 tsp Ginger, finely chopped', '1 tsp Garlic, finely chopped', '1 tsp Green chilies , finely chopped', '1 tbsp Coriander leaves - finely chopped, finely chopped', '2 tbsp French beans, finely chopped', '2 tbsp Carrots, finely chopped', '2 tbsp Cabbage , finely chopped', '2 tbsp Capsicum , finely chopped', '2 tbsp Mushrooms , finely chopped', '2  Spring onions, finely chopped', '1 tsp Pepper', '1 tbsp Soya sauce', '4 tbsp Cornflour - mixed with', '1 cup Water', '2 stems  Spring onion', 'as required  oil & salt']"
63,CHI_30,"['2 packets  noodles', '1 tbsp vegetable oil', '1 cup onion, sliced', '1 cup pepper, sliced', '1 cup carrot, julienne', '1 cup spring onions , sliced', '1 cup mushrooms, sliced', '1/2  Iceberg/romaine lettuce', '1 tbsp ginger & garlic chilli paste', '1 tbsp soy sauce', '1 tbsp schezwan sauce', '1/2 tsp turmeric powder', '1 tsp sugar', '1 tbsp coriander, chopped', '1 tbsp lemon juice', '1 tsp vinegar']"
64,CHI_31,"['5 Pieces bok choy or any green vegetable.', '1  whole chicken, boiled', '3-4  spring onions', '5 spoons large chicken stock', '10  Mushrooms']"
65,CHI_32,"['For the tofu:', '100 gms tofu', '2 tsp chilly paste', '1  Lemon grass stick', '2  Shallots , chopped', '1 inch  ginger , chopped', '2 tsp soya sauce', '3  Garlic cloves, chopped', '1 inch  red onion , chopped', '2 tsp honey', 'Handful of coriander leaves, chopped', '1 tsp refined oil', 'For the fried rice:', 'Carrots, chopped', 'Spring onions, chopped', 'To flavor  salt & pepper', '1  Fresh red chilly, chopped', '1  Ginger, chopped', '2 tsp soya sauce', '1/2  Lemon (squeezed)', 'Handful Handful of coriander , chopped', '1 tsp olive oil']"
66,CHI_33,"['250 gms Chicken mince', '2  Eggs (slightly beaten)', '3/4 cup Refined flour', '1/2 tsp Garlic paste', '1/2 tsp Ginger paste', 'Oil (for deep frying)', '2 tbsp Oil', '1 tsp Garlic, finely chopped', '1/2 cup Onions, finely chopped', '1 large Capsicum, finely chopped', 'For sauce, mix together:', '3 tbsp Corn flour (blended)', '1/2 cup Water', '2 tbsp Vinegar', '2 tsp Salt', '2 tsp Soya sauce', '1/2 cup Tomato puree', '2 tbsp Celery, chopped', '2 cups Water']"
67,CHI_34,"['250 Gram Fish pieces (Boneless)', '1/2 cup Maida', '1/2 cup Corn flour', '1 tsp Baking powder', '2 tsp Soy sauce', '2 tbsp Celery, finely chopped', '1 tsp Pepper', 'Salt', 'Oil', 'To garnish  Spring onions', 'For the sauce:', '1 tbsp Ginger, chopped', '1 tbsp Garlic, chopped', '1 tbsp Green chilly, chopped', '4 tbsp Soy sauce', '5 tbsp Tomato sauce', '1 tbsp Chilli sauce', '1 tbsp Corn flour']"
68,CHI_35,"['For the potatoes:', '2  Potatoes (sliced), peeled', '3-4 tbsp Cornflour or maida', 'to taste Salt', '1 tsp Red chilli powder', 'Oil (for deep frying)', 'For the base:', '1 tsp Oil', 'Spring onions (with stalk), fried', '1 tbsp Garlic paste', '1  Capsicum, sliced', '2 tbsp Honey', 'to taste Salt', '1/4 tsp Soya sauce', '3 tsp White sesame seeds', '2 tsp Chilli sauce']"
69,CHI_36,"['2 Tbsp oil', '1  Egg', '1 tsp ginger, chopped', '6-7  Garlic cloves (mashed)', '1  red chilli, chopped', '2 cups rice, steamed', '1 tsp salt', '1 tsp black pepper powder', '1 tsp soya sauce', '1 tsp coriander, chopped', '2 tsp spring onion, chopped']"
70,CHI_37,"['300 gms chicken', '15-20 garlic cloves', '1 knob ginger', '1 1/2 tsp corn flour', '1 egg', '1 cup pineapple (diced)', '1 cup carrots (diced)', '1 cup chinese cabbage (diced)', '1 cup red, green and yellow peppers', '1 tsp light soya sauce', '1 Tbsp vegetable oil', '1 cup onions (diced)', '1 Tbsp tomato juice']"
71,CHI_38,"['5 gms carrot', '5 gms cabbage', '5 gms black mushrooms', '5 gms button mushrooms', '5 gms bamboo shoots', '5 gms bean sprouts', '5 gms fresh beans', '100 gms chicken', '60 gms prawns', '1 tbsp soya sauce', '1/2 tbsp chili powder', '1/2 tsp white pepper', '2 tbsp corn flour', '1  Egg', '1 tbsp coriander', '1 tsp chili oil', '2 cups stock', '1 1/2 tbsp vinegar', 'to taste salt']"
72,CHI_39,"['100 gms soya nuggets (soaked in water for 1/2 an hour and drained', '2 tbsp salt', '1/2 tbsp garlic paste', '2 tbsp oil', '1 cup spring onions, finely chopped', '2 tbsp green chillies, sliced', '2 tbsp soya sauce', '2 tbsp vinegar', 'for garnishing Some greens']"
73,CHI_40,"['To pan sear the chicken  Oil', 'For the marinade:', '2  Chicken breast', '2 tbsp Char siu sauce', '1 tbsp Garlic & ginger', '1 tsp Rice vinegar', '1 tsp Honey', '1 tsp Red chilli paste (optional)', '1/2 tsp Sesame oil', 'to taste Salt & pepper']"
74,CHI_41,"['1/4 cup refined flour (all purpose flour)', '1 Tbsp baking powder', '1 cup water', '4 egg yolks', '1 Tbsp sugar', '1/2 cup dates - ground and mixed with little sesame oil', '1 Tbsp sugar syrup - flavoured with star anise', 'Cinnamon - to garnish']"
75,CHI_42,"['1 cup rice', '1 Tbsp salt', '1/2 cup oil', '200 gm mushroom - sliced thin', '2 Tbsp celery - chopped fine', '2 tsp soya sauce', '1 Tbsp vinegar', '1 tsp chilli sauce']"
76,CHI_43,"['500 Gram Cauliflower (gobhi, cut into small florets)', '2 tsp Salt', '1  Egg', '1/2 cup Corn flour', '1 tsp Ginger-garlic paste', 'To mix the batter  Water', 'For deep frying  Oil', '2 cups Onions , finely chopped', '2 tbsp Green chillies , sliced', '1 tbsp Soya sauce', '2 tbsp Vinegar', 'Some greens for garnish']"
